epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,232.308,1.04649,1.78778,1.23948,0.8313,0.75,0.83014,0.57296,0.98818,2.25584,1.41101,0.0011684,0.0011684,0.0011684
44,237.603,0.95279,1.8074,1.04402,0.8313,0.75,0.83014,0.57296,0.98818,2.25584,1.41101,0.0011486,0.0011486,0.0011486
45,242.901,0.91541,1.57468,1.09897,0.8313,0.75,0.83014,0.57296,0.98818,2.25584,1.41101,0.0011288,0.0011288,0.0011288
46,248.26,0.85998,1.3983,0.97249,1,0.85073,0.923,0.62984,0.94441,2.43517,1.37818,0.001109,0.001109,0.001109
47,253.564,0.87681,1.40126,1.05824,1,0.85073,0.923,0.62984,0.94441,2.43517,1.37818,0.0010892,0.0010892,0.0010892
48,258.86,1.02571,1.90998,1.20791,1,0.85073,0.923,0.62984,0.94441,2.43517,1.37818,0.0010694,0.0010694,0.0010694
49,264.154,0.93669,1.66346,1.06693,1,0.85073,0.923,0.62984,0.94441,2.43517,1.37818,0.0010496,0.0010496,0.0010496
50,269.494,0.94082,1.65485,1.14449,0.72861,0.75,0.81217,0.56247,0.87372,2.46085,1.20753,0.0010298,0.0010298,0.0010298
51,274.79,1.01332,1.6308,1.09198,0.72861,0.75,0.81217,0.56247,0.87372,2.46085,1.20753,0.00101,0.00101,0.00101
52,280.097,0.83442,1.67737,1.03316,0.72861,0.75,0.81217,0.56247,0.87372,2.46085,1.20753,0.0009902,0.0009902,0.0009902
53,285.378,0.93733,1.38136,1.11648,0.72861,0.75,0.81217,0.56247,0.87372,2.46085,1.20753,0.0009704,0.0009704,0.0009704
54,290.688,0.86708,1.65139,1.10601,0.85533,0.74049,0.79259,0.65647,0.75377,2.64219,1.20707,0.0009506,0.0009506,0.0009506
55,296.047,0.82916,1.38944,1.08816,0.85533,0.74049,0.79259,0.65647,0.75377,2.64219,1.20707,0.0009308,0.0009308,0.0009308
56,301.341,0.82289,1.40825,1.0355,0.85533,0.74049,0.79259,0.65647,0.75377,2.64219,1.20707,0.000911,0.000911,0.000911
57,306.661,0.94124,1.46033,1.08213,0.77322,0.85447,0.86452,0.68742,0.69725,2.24456,1.20667,0.0008912,0.0008912,0.0008912
58,311.969,0.93743,1.36087,1.08803,0.77322,0.85447,0.86452,0.68742,0.69725,2.24456,1.20667,0.0008714,0.0008714,0.0008714
59,317.297,0.89178,1.59867,1.10661,0.77322,0.85447,0.86452,0.68742,0.69725,2.24456,1.20667,0.0008516,0.0008516,0.0008516
60,322.705,0.8166,1.20523,1.03739,0.77322,0.85447,0.86452,0.68742,0.69725,2.24456,1.20667,0.0008318,0.0008318,0.0008318
61,328.318,0.82784,1.44436,1.03108,0.94967,0.75,0.89183,0.68557,0.70662,2.01175,1.24433,0.000812,0.000812,0.000812
62,333.729,0.78435,1.45208,1.11322,0.94967,0.75,0.89183,0.68557,0.70662,2.01175,1.24433,0.0007922,0.0007922,0.0007922
63,339.17,0.90059,1.65273,1.0172,0.94967,0.75,0.89183,0.68557,0.70662,2.01175,1.24433,0.0007724,0.0007724,0.0007724
64,344.845,0.8669,1.34451,1.0691,0.94967,0.75,0.89183,0.68557,0.70662,2.01175,1.24433,0.0007526,0.0007526,0.0007526
65,350.395,0.82404,1.65588,1.14379,0.76793,0.875,0.75197,0.57948,0.75534,2.21093,1.21555,0.0007328,0.0007328,0.0007328
66,355.9,0.77095,1.85054,1.10433,0.76793,0.875,0.75197,0.57948,0.75534,2.21093,1.21555,0.000713,0.000713,0.000713
67,361.498,0.8233,1.24166,1.03383,0.76793,0.875,0.75197,0.57948,0.75534,2.21093,1.21555,0.0006932,0.0006932,0.0006932
68,366.821,0.89145,1.4922,1.10373,0.77731,0.87288,0.78954,0.62025,0.73029,2.58851,1.14026,0.0006734,0.0006734,0.0006734
69,372.277,0.75719,1.2227,1.05467,0.77731,0.87288,0.78954,0.62025,0.73029,2.58851,1.14026,0.0006536,0.0006536,0.0006536
70,377.695,0.69412,1.36538,1.04248,0.77731,0.87288,0.78954,0.62025,0.73029,2.58851,1.14026,0.0006338,0.0006338,0.0006338
71,382.949,0.80272,1.35717,1.01217,0.77731,0.87288,0.78954,0.62025,0.73029,2.58851,1.14026,0.000614,0.000614,0.000614
72,388.206,0.91675,1.77344,1.12825,0.77732,0.87292,0.78411,0.64685,0.70524,2.54451,1.09496,0.0005942,0.0005942,0.0005942
73,393.437,0.77741,1.31056,0.97172,0.77732,0.87292,0.78411,0.64685,0.70524,2.54451,1.09496,0.0005744,0.0005744,0.0005744
74,398.683,0.84169,1.43454,1.09685,0.77732,0.87292,0.78411,0.64685,0.70524,2.54451,1.09496,0.0005546,0.0005546,0.0005546
75,403.922,0.86794,1.42124,1.06916,0.77732,0.87292,0.78411,0.64685,0.70524,2.54451,1.09496,0.0005348,0.0005348,0.0005348
